date,temp_max,temp_min,humidity_max,humidity_min,windspeed_avg,solar_radiation_avg,ETo,precip,humedad_sonda
2022-08-21,38.6,20.3,82.87,18.95,8.9125,21.7836,7.20715603715764,1.228,16.628979166666667
2022-08-22,33.4,23.1,82.27,42.09,11.1625,21.8268,6.226438456296704,0.0,16.4478125
2022-08-23,33.7,23.7,82.92,41.0,9.2375,18.1548,5.483367562322336,0.0,16.298666666666666
2022-08-24,34.6,21.8,85.43,39.75,9.241666666666664,19.8504,5.781656904144489,0.0,16.2109375
2022-08-25,34.4,23.1,88.55,40.15,9.8875,21.0204,5.977690435674396,0.92,16.217895833333333
2022-08-26,33.5,24.2,88.28,43.19,10.504166666666666,19.1268,5.623355946332123,14.337,16.073291666666666
2022-08-27,33.6,21.4,80.83,38.26,10.5625,21.2076,6.151379534842712,0.0,16.1006875
2022-08-28,32.6,23.8,85.13,47.18,12.725,11.221835294117646,4.702628131316,0.0,16.551583333333333
2022-08-29,32.1,24.4,85.33,48.87,10.654166666666669,11.185200000000002,4.272865435158648,0.0,16.444937499999998
2022-08-30,34.6,23.0,92.31,46.69,6.416666666666667,14.295600000000002,4.190830097772541,2.496,16.406041666666667
2022-08-31,34.9,22.6,91.24,37.58,9.325,17.373599999999996,5.438556485095204,7.342,16.644270833333334
2022-09-01,34.6,21.8,88.38,35.95,10.020833333333334,18.5868,5.776269674765647,27.586,17.406541666666666
2022-09-02,35.8,24.6,85.71,21.67,7.929166666666667,17.3052,5.733324771682284,5.531,18.2165
2022-09-03,33.7,23.1,70.33,24.64,8.950000000000001,18.1332,5.968864398974842,0.0,18.509854166666667
2022-09-04,34.2,19.9,80.3,26.1,9.583333333333334,19.476,6.128868182569599,0.0,18.649270833333333
2022-09-05,35.2,21.2,89.09,22.42,7.591666666666666,20.4948,5.855735657130936,0.0,18.5520625
2022-09-06,35.7,20.9,86.47,22.07,8.833333333333334,19.4688,6.164392647036699,0.0,18.14958333333333
2022-09-07,36.7,20.4,66.35,21.06,7.3625,18.6444,5.974551300670399,0.0,17.670583333333333
2022-09-08,35.1,20.7,68.28,18.51,9.170833333333333,20.808,6.600643371778952,0.0,17.209500000000002
2022-09-09,36.0,19.5,76.52,25.78,9.216666666666669,19.8324,6.325313281683766,0.0,16.88083333333333
2022-09-10,33.3,20.1,83.57,38.49,9.091666666666669,19.5444,5.431795781645901,0.0,16.5370625
2022-09-11,34.4,21.1,94.06,27.06,9.091666666666669,18.6408,5.653863317073574,0.0,16.306791666666665
2022-09-12,34.2,21.5,92.68,43.53,8.9625,14.371200000000002,4.590870506114004,0.0,16.09329166666667
2022-09-13,28.8,25.6,85.03,56.67,8.487499999999999,4.0032000000000005,2.493242470066252,0.0,15.879062500000002
2022-09-14,30.1,24.1,86.76,39.99,5.995833333333334,8.658,3.144125920556682,0.0,16.168916666666664
2022-09-15,32.4,19.6,81.67,29.75,8.241666666666665,17.121599999999997,5.072745978360199,0.0,16.723229166666666
2022-09-16,32.9,20.2,78.45,31.18,8.583333333333334,18.5868,5.358501980550842,0.0,17.270125
2022-09-17,31.4,18.9,84.51,44.96,10.0875,19.062,5.005711947086782,0.0,17.358458333333335
